codigo_proyecto,primary_reason_taxonomy,falls
NP,CAMBIO_UNIDAD,9
FX,CAMBIO_UNIDAD,5
MT,CAMBIO_UNIDAD,5
FX,FINANCIAMIENTO_CREDITO,3
MD,CAMBIO_UNIDAD,3
MT,PERSONAL_FAMILIAR_SALUD_LABORAL,3
EEUU,CAMBIO_UNIDAD,2
EEUU,FINANCIAMIENTO_CREDITO,2
FX,PERSONAL_FAMILIAR_SALUD_LABORAL,2
GY,FINANCIAMIENTO_CREDITO,2
MD,CAPACIDAD_PAGO,2
MD,PERSONAL_FAMILIAR_SALUD_LABORAL,2
NP,FINANCIAMIENTO_CREDITO,2
NP,PERSONAL_FAMILIAR_SALUD_LABORAL,2
SL,FINANCIAMIENTO_CREDITO,2
CP,CAMBIO_UNIDAD,1
CP,CAPACIDAD_PAGO,1
CP,FINANCIAMIENTO_CREDITO,1
EEUU,DESISTIMIENTO_SIN_DETALLE,1
EEUU,PERSONAL_FAMILIAR_SALUD_LABORAL,1
FX,PRODUCTO_UNIDAD,1
MT,CAPACIDAD_PAGO,1
NP,CONTACTABILIDAD,1
SL,CAMBIO_UNIDAD,1
SL,DOCUMENTACION_LEGAL,1
SL,PROYECTO_EJECUCION,1
