column_name,data_type,total_rows,non_null_rows,null_rows,non_null_rate,distinct_count,min_value,max_value
nombres_usuario,character varying,794049,728557,65492,0.917521,28,,
username,character varying,794049,728557,65492,0.917521,28,,
nombres_cliente,character varying,794049,794049,0,1.0,51069,,
apellidos_cliente,character varying,794049,785573,8476,0.989326,65110,,
documento_cliente,character varying,794049,794049,0,1.0,140029,,
canal_entrada,character varying,794049,219387,574662,0.276289,13,,
medio_captacion,character varying,794049,221792,572257,0.279318,23,,
tipo_interaccion,character varying,794049,794049,0,1.0,23,,
nombre,character varying,794049,794049,0,1.0,146,,
codigo_proyecto,character varying,794049,668836,125213,0.842311,18,,
nombre_proyecto,character varying,794049,668836,125213,0.842311,18,,
codigo_unidad,character varying,794049,52605,741444,0.066249,2146,,
nombre_unidad,character varying,794049,52605,741444,0.066249,796,,
fecha_programada,date,794049,501,793548,0.000631,190,2019-10-17,2026-08-03
estado,character varying,794049,794049,0,1.0,2,,
observacion,character varying,794049,588435,205614,0.741056,51248,,
utm_source,character varying,794049,342342,451707,0.431135,21,,
utm_medium,character varying,794049,337284,456765,0.424765,10,,
utm_campaign,character varying,794049,443727,350322,0.558816,244,,
utm_term,character varying,794049,35466,758583,0.044665,72,,
utm_content,character varying,794049,44533,749516,0.056083,192,,
origen,character varying,794049,645545,148504,0.812979,10,,
id,integer,794049,794049,0,1.0,793655,,
tipo,character varying,794049,794049,0,1.0,2,,
fecha_creacion,timestamp without time zone,794049,794049,0,1.0,777070,2019-10-02 13:22:55.896895,2026-08-18 13:32:16.723319
satisfactorio,character varying,794049,473786,320263,0.596671,2,,
clientes_invitados,character varying,794049,0,794049,0.0,0,,
contactos_invitados,character varying,794049,0,794049,0.0,0,,
usuarios_invitados,character varying,794049,0,794049,0.0,0,,
cliente_id,integer,794049,794049,0,1.0,140017,,
tipo_evento,character varying,794049,501,793548,0.000631,4,,
nivel_interes,character varying,794049,627771,166278,0.790595,16,,
categorias_tipo_interaccion,character varying,794049,0,794049,0.0,0,,
fecha_actualizacion,date,794049,794049,0,1.0,2463,2019-10-02,2026-08-18
razon_desistimiento,character varying,794049,386,793663,0.000486,12,,
hora_actualizacion,character varying,794049,794049,0,1.0,74876,,
codigo_proforma,character varying,794049,37217,756832,0.04687,37217,,
origen_manual,character varying,794049,793536,513,0.999354,2,,
segmento,character varying,794049,167487,626562,0.210928,7,,
vendedor_asignado,character varying,794049,144144,649905,0.18153,21,,
canal_entrada_rastro,character varying,794049,164418,629631,0.207063,13,,
medio_captacion_rastro,character varying,794049,166140,627909,0.209231,23,,
_etl_loaded_at,timestamp with time zone,794049,794049,0,1.0,165,2026-08-08 20:41:58.971144-05:00,2026-08-18 15:50:14.925234-05:00
_etl_source_run_id,uuid,794049,794049,0,1.0,8,,
