timestamp_candidate,event_year,rows,distinct_proformas
fecha_programada,2019,1,0
fecha_programada,2020,56,0
fecha_programada,2021,5,0
fecha_programada,2022,21,0
fecha_programada,2023,19,0
fecha_programada,2024,33,0
fecha_programada,2025,330,0
fecha_programada,2026,36,0
fecha_creacion,2019,2099,56
fecha_creacion,2020,50827,3799
fecha_creacion,2021,55345,5599
fecha_creacion,2022,90039,4612
fecha_creacion,2023,112262,2327
fecha_creacion,2024,161244,4057
fecha_creacion,2025,188099,8905
fecha_creacion,2026,134134,7862
fecha_actualizacion,2019,1579,56
fecha_actualizacion,2020,51347,3799
fecha_actualizacion,2021,55345,5599
fecha_actualizacion,2022,90039,4612
fecha_actualizacion,2023,112253,2318
fecha_actualizacion,2024,160699,3804
fecha_actualizacion,2025,188365,8879
fecha_actualizacion,2026,134422,8150
_etl_loaded_at,2026,794049,37217
